ID	TW	CN	JP	CP950	CP936	GB2312	GBK
108	5154	5154		5154	5154	5154	5154
109	5152	513F	5150	5152	513F	513F	513F
110	5157	5156		5157	5156	5156	5156
111	5167	5185	5185	5167	5185	5185	5185
112	5169	4E24	4E21	5169	4E24	4E24	4E24
113	516D	516D	516D	516D	516D	516D	516D
114	516C	516C	516C	516C	516C	516C	516C
115	5176	5176		5176	5176	5176	5176
116	5178	5178	5178	5178	5178	5178	5178
117	5180	5180		5180	5180	5180	5180
118	5189	5189		5189	5189	5189	5189
119	518A	518C	518A	518A	518C	518C	518C
120	518D	518D	518D	518D	518D	518D	518D
121	5192	5192	5192	5192	5192	5192	5192
122	51A5	51A5	51A5	51A5	51A5	51A5	51A5
123	51B0	51B0	6C37	51B0	51B0	51B0	51B0
124	51B7	51B7	51B7	51B7	51B7	51B7	51B7
125	51CD	51BB	51CD	51CD	51BB	51BB	51BB
126	51DC	51DB		51DC	51DB	51DB	51DB
127	51F0	51F0		51F0	51F0	51F0	51F0
128	51F1	51EF		51F1	51EF	51EF	51EF
129	5200	5200	5200	5200	5200	5200	5200
130	5203	5203	5203	5203	5203	5203	5203
131	5207	5207	5207	5207	5207	5207	5207
132	5211	5211	5211	5211	5211	5211	5211
133	5217	5217	5217	5217	5217	5217	5217
134	520E	520E		520E	520E	520E	520E
135	522A	5220		522A	5220	5220	5220
136	5229	5229	5229	5229	5229	5229	5229
137	523B	523B	523B	523B	523B	523B	523B
138	5237	5237	5237	5237	5237	5237	5237
139	5230	5230	5230	5230	5230	5230	5230
140	5241	5241		5241	5241	5241	5241
141	5243	5243		5243	5243	5243	5243
142	524D	524D	524D	524D	524D	524D	524D
143	525B	521A	525B	525B	521A	521A	521A
144	5254	5254		5254	5254	5254	5254
145	525D	5265	525D	525D	5265	5265	5265
146	5274	5240		5274	5240	5240	5240
147	527D	527D		527D	527D	527D	527D
148	52E6	527F		52E6	527F	527F	527F
149	5287	5267	5287	5287	5267	5267	5267
150	5291	5242	5264	5291	5242	5242	5242
151	529B	529B	529B	529B	529B	529B	529B
152	529F	529F	529F	529F	529F	529F	529F
153	52A3	52A3	52A3	52A3	52A3	52A3	52A3
154	52AB	52AB		52AB	52AB	52AB	52AB
155	52A9	52A9	52A9	52A9	52A9	52A9	52A9
156	52AA	52AA	52AA	52AA	52AA	52AA	52AA
157	52BE	52BE	52BE	52BE	52BE	52BE	52BE
158	52C3	52C3	52C3	52C3	52C3	52C3	52C3
159	52C1	52B2		52C1	52B2	52B2	52B2
160	52D9	52A1	52D9	52D9	52A1	52A1	52A1
161	52D5	52A8	52D5	52D5	52A8	52A8	52A8
162	52DE	52B3	52B4	52DE	52B3	52B3	52B3
163	52E2	52BF	52E2	52E2	52BF	52BF	52BF
164	52E4	52E4	52E4	52E4	52E4	52E4	52E4
165	52F5	52B1	52B1	52F5	52B1	52B1	52B1
166	52F8	529D	52E7	52F8	529D	529D	529D
167	52FB	5300		52FB	5300	5300	5300
168	52FF	52FF		52FF	52FF	52FF	52FF
169	5310	5310		5310	5310	5310	5310
170	5316	5316	5316	5316	5316	5316	5316
171	5317	5317	5317	5317	5317	5317	5317
172	5319	5319		5319	5319	5319	5319
173	531D	531D		531D	531D	531D	531D
174	5321	5321		5321	5321	5321	5321
175	5320	5320	5320	5320	5320	5320	5320
176	5323	5323		5323	5323	5323	5323
178	5340	533A	533A	5340	533A	533A	533A
179	5345	5345		5345	5345	5345	5345
180	5349	5349		5349	5349	5349	5349
181	5352	5352	5352	5352	5352	5352	5352
182	5351	5351	5351	5351	5351	5351	5351
183	535A	535A	535A	535A	535A	535A	535A
184	536F	536F		536F	536F	536F	536F
185	5371	5371	5371	5371	5371	5371	5371
186	5373	5373	5373	5373	5373	5373	5373
187	5375	5375	5375	5375	5375	5375	5375
188	5378	5378	5378	5378	5378	5378	5378
189	537F	537F		537F	537F	537F	537F
190	539D	539D		539D	539D	539D	539D
191	539F	539F	539F	539F	539F	539F	539F
192	53AD	538C		53AD	538C	538C	538C
193	53B2	5389		53B2	5389	5389	5389
194	53BB	53BB	53BB	53BB	53BB	53BB	53BB
195	53CB	53CB	53CB	53CB	53CB	53CB	53CB
196	53D7	53D7	53D7	53D7	53D7	53D7	53D7
197	53DB	53DB		53DB	53DB	53DB	53DB
198	53DF	53DF		53DF	53DF	53DF	53DF
199	53E2	4E1B		53E2	4E1B	4E1B	4E1B
200	53E3	53E3	53E3	53E3	53E3	53E3	53E3
201	53E4	53E4	53E4	53E4	53E4	53E4	53E4
202	53EF	53EF	53EF	53EF	53EF	53EF	53EF
203	53E9	53E9		53E9	53E9	53E9	53E9
204	53F3	53F3	53F3	53F3	53F3	53F3	53F3
205	53EC	53EC	53EC	53EC	53EC	53EC	53EC
206	53F2	53F2	53F2	53F2	53F2	53F2	53F2
207	5409	5409	5409	5409	5409	5409	5409
208	541D	541D		541D	541D	541D	541D
209	541E	541E		541E	541E	541E	541E
210	541B	541B	541B	541B	541B	541B	541B
211	543E	543E		543E	543E	543E	543E
212	5446	5446		5446	5446	5446	5446
213	543C	543C		543C	543C	543C	543C
214	5443	5443		5443	5443	5443	5443
215	5426	5426	5426	5426	5426	5426	5426
216	5420	5420		5420	5420	5420	5420
217	542E	542E		542E	542E	542E	542E
218	544A	544A	544A	544A	544A	544A	544A
219	543B	543B		543B	543B	543B	543B
220	5438	5438	5438	5438	5438	5438	5438
221	5439	5439	5439	5439	5439	5439	5439
222	541F	541F	541F	541F	541F	541F	541F
223	5462	5462		5462	5462	5462	5462
224	547B	547B		547B	547B	547B	547B
225	5484	5484		5484	5484	5484	5484
226	547D	547D	547D	547D	547D	547D	547D
227	5471	5471		5471	5471	5471	5471
228	548E	548E		548E	548E	548E	548E
