ID	TW	CN	JP	KO	CP950	CP936	GB2312	GBK
132	59DC	59DC			59DC	59DC	59DC	59DC
133	7B71	7B71	7BE0		7B71	7B71	7B71	7B71
134	739F	739F			739F	739F	739F	739F
135	7403	7403	7403		7403	7403	7403	7403
136	8FED	8FED	8FED		8FED	8FED	8FED	8FED
138	75C7	75C7	75C7		75C7	75C7	75C7	75C7
139	6731	6731	6731		6731	6731	6731	6731
140	7A3D	7A3D	7A3D		7A3D	7A3D	7A3D	7A3D
141	7BA1	7BA1	7BA1		7BA1	7BA1	7BA1	7BA1
142	7B51	7B51	7B51		7B51	7B51	7B51	7B51
143	72E8	72E8			72E8	72E8	72E8	72E8
144	7DB0	7EFE			7DB0	7EFE	7EFE	7EFE
145	7F75	9A82	7F75		7F75	9A82	9A82	9A82
146	7FCC	7FCC	7FCC		7FCC	7FCC	7FCC	7FCC
147	80B2	80B2	80B2		80B2	80B2	80B2	80B2
148	6DC6	80B4			6DC6	80B4	80B4	80B4
149	88F9	88F9			88F9	88F9	88F9	88F9
150	6258	6258	8A17		6258	6258	6258	6258
151	8AE6	8C1B	8AE6		8AE6	8C1B	8C1B	8C1B
152	8D0A	8D5E	8CDB		8D0A	8D5E	8D5E	8D5E
153	6EAA	6EAA	6E13		6EAA	6EAA	6EAA	6EAA
154	90ED	90ED			90ED	90ED	90ED	90ED
155	9112	90B9			9112	90B9	90B9	90B9
156	9162	9162	9162		9162	9162	9162	9162
157	929C	8854	8858		929C	8854	8854	8854
158	5319	5319			5319	5319	5319	5319
159	677F	677F	677F		677F	677F	677F	677F
160	96AA	9669	967A		96AA	9669	9669	9669
161	8125	988A	9830		8125	988A	988A	988A
162	613F	613F	9858		613F	613F	613F	613F
163	63DA	626C	63DA		63DA	626C	626C	626C
164	9912	9981			9912	9981	9981	9981
165	5582	5582			5582	5582	5582	5582
166	4E31	4E31			4E31	4E31
167	7926	77FF	9271		7926	77FF	77FF	77FF
168	7707	7707			7707	7707	7707	7707
169	5352	5352	5352		5352	5352	5352	5352
170	7CB9	7CB9	7C8B		7CB9	7CB9	7CB9	7CB9
171	9023	8FDE	9023		9023	8FDE	8FDE	8FDE
172	562C	562C			562C	562C	562C	562C
173	8B95	8C30			8B95	8C30	8C30	8C30
175	966F	57E8			966F	57E8
176	60F0	60F0	60F0		60F0	60F0	60F0	60F0
177	6177	6177			6177	6177	6177	6177
178	53AD	538C			53AD	538C	538C	538C
179	624A	624A			624A	624A
180	53C9	53C9			53C9	53C9	53C9	53C9
181	64C6	64AF				64AF
182	866F	866C			866F	866C	866C	866C
183	65D2	65D2			65D2	65D2	65D2	65D2
184	7403	7403			7403	7403	7403	7403
185	68D8	68D8			68D8	68D8	68D8	68D8
